Sample,,,,,,,,S1P d16:1 [M>113] Method,,,,S1P d16:1 [M>113] Results,,,,S1P d16:1 [M>60] Method,,,,S1P d16:1 [M>60] Results,,,,S1P d17:1 [M>113] Method,,,,S1P d17:1 [M>113] Results,,,,S1P d17:1 [M>60] Method,,,,S1P d17:1 [M>60] Results,,,,S1P d18:0 [M>113] Method,,,,S1P d18:0 [M>113] Results,,,,S1P d18:0 [M>60] Method,,,,S1P d18:0 [M>60] Results,,,,S1P d18:1 [M>113] Method,,,,S1P d18:1 [M>113] Results,,,,S1P d18:1 [M>60] Method,,,,S1P d18:1 [M>60] Results,,,,S1P d18:1 13C2D2 (ISTD) [M>113] Method,,,,S1P d18:1 13C2D2 (ISTD) [M>113] Results,,,,S1P d18:1 13C2D2 (ISTD) [M>60] Method,,,,S1P d18:1 13C2D2 (ISTD) [M>60] Results,,,,S1P d18:2 [M>113] Method,,,,S1P d18:2 [M>113] Results,,,,S1P d18:2 [M>60] Method,,,,S1P d18:2 [M>60] Results,,,,S1P d19:1 [M>113] Method,,,,S1P d19:1 [M>113] Results,,,,S1P d19:1 [M>60] Method,,,,S1P d19:1 [M>60] Results,,,,S1P d20:1 [M>113] Method,,,,S1P d20:1 [M>113] Results,,,,S1P d20:1 [M>60] Method,,,,S1P d20:1 [M>60] Results,,,
,Quantitation Message,Data File,Name,Type,Level,Acq. Date-Time,Pos.,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI
,,020_SPL_S001_Martin 0.d,020_SPL_S001_Martin 0,Sample,,4/19/2018 21:01,P1-A6,Positive,408.3,113,29,3.463,1811,0.057,FALSE,Positive,408.3,60.1,29,3.463,6730,0.055,FALSE,Positive,422.3,113,29,3.429,1154,0.061,TRUE,Positive,422.3,60.1,29,3.429,3901,0.057,FALSE,Positive,438.3,113,29,3.376,4654,0.061,FALSE,Positive,438.3,60.1,29,3.384,7879,0.061,FALSE,Positive,436.3,113,29,3.402,21968,0.056,FALSE,Positive,436.3,60.1,29,3.402,88725,0.055,FALSE,Positive,440.3,113,29,3.4,10053,0.056,FALSE,Positive,440.3,60.1,29,3.4,39456,0.055,FALSE,Positive,434.3,113,29,3.428,4002,0.057,FALSE,Positive,434.3,60.1,29,3.428,15416,0.056,FALSE,Positive,450.4,113,29,3.382,372,0.166,FALSE,Positive,450.4,60.1,29,3.366,1948,0.059,FALSE,Positive,464.4,113,29,3.257,88,0.047,FALSE,Positive,464.4,60.1,29,3.34,457,0.116,FALSE
,S1P d19:1 [M>113]: Integrator did not find any peaks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,021_SPL_S002_LZ156347.d,021_SPL_S002_LZ156347,Sample,,4/19/2018 21:11,P1-A7,Positive,408.3,113,29,3.455,1559,0.058,FALSE,Positive,408.3,60.1,29,3.463,5789,0.055,FALSE,Positive,422.3,113,29,3.437,1220,0.063,FALSE,Positive,422.3,60.1,29,3.429,3975,0.057,FALSE,Positive,438.3,113,29,3.384,10166,0.058,FALSE,Positive,438.3,60.1,29,3.384,18221,0.06,FALSE,Positive,436.3,113,29,3.402,35712,0.055,FALSE,Positive,436.3,60.1,29,3.402,149176,0.055,FALSE,Positive,440.3,113,29,3.4,9160,0.056,FALSE,Positive,440.3,60.1,29,3.4,38985,0.056,FALSE,Positive,434.3,113,29,3.436,4666,0.057,FALSE,Positive,434.3,60.1,29,3.436,18555,0.056,FALSE,Positive,450.4,113,29,,,,FALSE,Positive,450.4,60.1,29,3.374,3175,0.057,FALSE,Positive,464.4,113,29,3.34,566,0.133,FALSE,Positive,464.4,60.1,29,3.348,1518,0.052,FALSE,
,S1P d19:1 [M>113]: Integrator did not find any peaks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,022_SPL_S003_Schneider 0.d,022_SPL_S003_Schneider 0,Sample,,4/19/2018 21:21,P1-A8,Positive,408.3,113,29,3.463,1335,0.057,FALSE,Positive,408.3,60.1,29,3.463,4473,0.055,FALSE,Positive,422.3,113,29,3.429,1211,0.058,FALSE,Positive,422.3,60.1,29,3.429,3590,0.056,FALSE,Positive,438.3,113,29,3.376,10679,0.059,FALSE,Positive,438.3,60.1,29,3.384,18699,0.059,FALSE,Positive,436.3,113,29,3.402,36275,0.055,FALSE,Positive,436.3,60.1,29,3.402,149991,0.055,FALSE,Positive,440.3,113,29,3.4,9455,0.057,FALSE,Positive,440.3,60.1,29,3.4,41223,0.056,FALSE,Positive,434.3,113,29,3.436,6233,0.056,FALSE,Positive,434.3,60.1,29,3.436,26038,0.055,FALSE,Positive,450.4,113,29,,,,FALSE,Positive,450.4,60.1,29,3.374,3026,0.057,FALSE,Positive,464.4,113,29,3.348,306,0.108,FALSE,Positive,464.4,60.1,29,3.34,739,0.028,FALSE,
,,023_SPL_S004_VM353831.d,023_SPL_S004_VM353831,Sample,,4/19/2018 21:31,P1-A9,Positive,408.3,113,29,3.463,1180,0.059,FALSE,Positive,408.3,60.1,29,3.463,4181,0.055,FALSE,Positive,422.3,113,29,3.429,1235,0.061,FALSE,Positive,422.3,60.1,29,3.429,4010,0.056,TRUE,Positive,438.3,113,29,3.376,10012,0.058,FALSE,Positive,438.3,60.1,29,3.384,18677,0.058,FALSE,Positive,436.3,113,29,3.402,28926,0.055,FALSE,Positive,436.3,60.1,29,3.402,116771,0.055,FALSE,Positive,440.3,113,29,3.4,8857,0.057,FALSE,Positive,440.3,60.1,29,3.4,37022,0.055,FALSE,Positive,434.3,113,29,3.428,6483,0.056,FALSE,Positive,434.3,60.1,29,3.436,24721,0.056,FALSE,Positive,450.4,113,29,3.366,455,0.096,FALSE,Positive,450.4,60.1,29,3.366,3086,0.059,FALSE,Positive,464.4,113,29,3.348,308,0.099,FALSE,Positive,464.4,60.1,29,3.34,807,0.052,FALSE
,,024_SPL_S005_Fehr 0.d,024_SPL_S005_Fehr 0,Sample,,4/19/2018 21:42,P1-B1,Positive,408.3,113,29,3.463,2024,0.056,FALSE,Positive,408.3,60.1,29,3.463,6954,0.055,FALSE,Positive,422.3,113,29,3.429,1607,0.063,TRUE,Positive,422.3,60.1,29,3.429,6193,0.056,FALSE,Positive,438.3,113,29,3.376,27114,0.059,FALSE,Positive,438.3,60.1,29,3.384,40389,0.06,FALSE,Positive,436.3,113,29,3.402,73800,0.055,FALSE,Positive,436.3,60.1,29,3.402,298046,0.055,FALSE,Positive,440.3,113,29,3.4,10397,0.058,TRUE,Positive,440.3,60.1,29,3.4,40474,0.056,FALSE,Positive,434.3,113,29,3.436,7036,0.057,FALSE,Positive,434.3,60.1,29,3.436,28744,0.056,FALSE,Positive,450.4,113,29,3.374,1264,0.062,FALSE,Positive,450.4,60.1,29,3.374,7625,0.057,FALSE,Positive,464.4,113,29,3.34,1192,0.065,FALSE,Positive,464.4,60.1,29,3.348,2153,0.055,FALSE
,,025_SPL_S006_Fehr 1.d,025_SPL_S006_Fehr 1,Sample,,4/19/2018 21:52,P1-B2,Positive,408.3,113,29,3.471,1874,0.055,FALSE,Positive,408.3,60.1,29,3.463,6770,0.055,FALSE,Positive,422.3,113,29,3.437,1735,0.06,FALSE,Positive,422.3,60.1,29,3.437,5108,0.056,FALSE,Positive,438.3,113,29,3.384,21970,0.062,FALSE,Positive,438.3,60.1,29,3.384,31303,0.06,FALSE,Positive,436.3,113,29,3.402,56389,0.054,FALSE,Positive,436.3,60.1,29,3.402,236194,0.055,FALSE,Positive,440.3,113,29,3.408,11228,0.057,TRUE,Positive,440.3,60.1,29,3.408,45721,0.056,FALSE,Positive,434.3,113,29,3.436,5826,0.056,FALSE,Positive,434.3,60.1,29,3.436,23152,0.056,FALSE,Positive,450.4,113,29,3.382,853,0.063,FALSE,Positive,450.4,60.1,29,3.374,5542,0.057,FALSE,Positive,464.4,113,29,3.34,837,0.07,FALSE,Positive,464.4,60.1,29,3.348,1625,0.059,TRUE
,,026_SPL_S007_LZ154999.d,026_SPL_S007_LZ154999,Sample,,4/19/2018 22:02,P1-B3,Positive,408.3,113,29,3.463,1199,0.055,FALSE,Positive,408.3,60.1,29,3.463,4560,0.055,FALSE,Positive,422.3,113,29,3.429,1132,0.063,FALSE,Positive,422.3,60.1,29,3.429,3346,0.058,FALSE,Positive,438.3,113,29,3.376,9717,0.058,FALSE,Positive,438.3,60.1,29,3.376,17558,0.059,FALSE,Positive,436.3,113,29,3.402,30070,0.055,FALSE,Positive,436.3,60.1,29,3.402,127091,0.055,FALSE,Positive,440.3,113,29,3.4,10160,0.056,FALSE,Positive,440.3,60.1,29,3.4,42581,0.055,FALSE,Positive,434.3,113,29,3.428,5077,0.057,FALSE,Positive,434.3,60.1,29,3.428,21353,0.056,FALSE,Positive,450.4,113,29,3.316,149,0.075,FALSE,Positive,450.4,60.1,29,3.366,2741,0.057,FALSE,Positive,464.4,113,29,3.34,990,0.077,FALSE,Positive,464.4,60.1,29,3.34,822,0.06,FALSE
,,027_SPL_S008_VM347457.d,027_SPL_S008_VM347457,Sample,,4/19/2018 22:12,P1-B4,Positive,408.3,113,29,3.463,1232,0.061,FALSE,Positive,408.3,60.1,29,3.463,4067,0.055,FALSE,Positive,422.3,113,29,3.437,856,0.078,TRUE,Positive,422.3,60.1,29,3.429,2262,0.057,TRUE,Positive,438.3,113,29,3.376,11080,0.058,FALSE,Positive,438.3,60.1,29,3.384,20495,0.058,FALSE,Positive,436.3,113,29,3.402,26716,0.055,FALSE,Positive,436.3,60.1,29,3.402,115956,0.055,FALSE,Positive,440.3,113,29,3.4,9642,0.057,FALSE,Positive,440.3,60.1,29,3.4,42226,0.055,FALSE,Positive,434.3,113,29,3.436,4557,0.057,FALSE,Positive,434.3,60.1,29,3.436,16977,0.056,FALSE,Positive,450.4,113,29,3.374,508,0.075,FALSE,Positive,450.4,60.1,29,3.374,2510,0.058,FALSE,Positive,464.4,113,29,3.331,709,0.074,FALSE,Positive,464.4,60.1,29,3.348,847,0.057,FALSE
,,028_BQC_PQC03.d,028_BQC_PQC03,Sample,,4/19/2018 22:23,P1-B5,Positive,408.3,113,29,3.463,1709,0.058,FALSE,Positive,408.3,60.1,29,3.463,5930,0.055,FALSE,Positive,422.3,113,29,3.429,1173,0.062,FALSE,Positive,422.3,60.1,29,3.429,4701,0.054,FALSE,Positive,438.3,113,29,3.376,10069,0.058,FALSE,Positive,438.3,60.1,29,3.384,17951,0.06,FALSE,Positive,436.3,113,29,3.402,32675,0.056,FALSE,Positive,436.3,60.1,29,3.402,153995,0.055,FALSE,Positive,440.3,113,29,3.4,10312,0.056,FALSE,Positive,440.3,60.1,29,3.4,41569,0.056,FALSE,Positive,434.3,113,29,3.436,5472,0.057,FALSE,Positive,434.3,60.1,29,3.436,23221,0.056,FALSE,Positive,450.4,113,29,3.374,672,0.079,FALSE,Positive,450.4,60.1,29,3.374,3330,0.058,FALSE,Positive,464.4,113,29,3.331,246,0.099,FALSE,Positive,464.4,60.1,29,3.34,909,0.059,TRUE
,,029_SPL_S009_Rahm 0.d,029_SPL_S009_Rahm 0,Sample,,4/19/2018 22:33,P1-B6,Positive,408.3,113,29,3.463,1378,0.056,FALSE,Positive,408.3,60.1,29,3.463,4806,0.054,FALSE,Positive,422.3,113,29,3.429,1158,0.059,TRUE,Positive,422.3,60.1,29,3.429,3606,0.057,FALSE,Positive,438.3,113,29,3.376,16516,0.06,FALSE,Positive,438.3,60.1,29,3.384,25893,0.059,FALSE,Positive,436.3,113,29,3.402,46833,0.055,FALSE,Positive,436.3,60.1,29,3.402,197434,0.055,FALSE,Positive,440.3,113,29,3.4,9344,0.057,FALSE,Positive,440.3,60.1,29,3.4,41653,0.056,FALSE,Positive,434.3,113,29,3.436,6013,0.056,FALSE,Positive,434.3,60.1,29,3.436,23353,0.056,FALSE,Positive,450.4,113,29,3.374,960,0.064,FALSE,Positive,450.4,60.1,29,3.374,3989,0.057,FALSE,Positive,464.4,113,29,3.348,743,0.066,FALSE,Positive,464.4,60.1,29,3.34,1129,0.058,TRUE
,,030_SPL_S010_Rahm 1.d,030_SPL_S010_Rahm 1,Sample,,4/19/2018 22:43,P1-B7,Positive,408.3,113,29,3.463,1300,0.059,TRUE,Positive,408.3,60.1,29,3.463,4497,0.054,FALSE,Positive,422.3,113,29,3.437,1107,0.064,FALSE,Positive,422.3,60.1,29,3.429,3221,0.058,FALSE,Positive,438.3,113,29,3.376,15103,0.058,FALSE,Positive,438.3,60.1,29,3.384,22950,0.06,FALSE,Positive,436.3,113,29,3.402,47194,0.055,FALSE,Positive,436.3,60.1,29,3.402,211352,0.055,FALSE,Positive,440.3,113,29,3.4,10406,0.057,FALSE,Positive,440.3,60.1,29,3.4,44461,0.055,FALSE,Positive,434.3,113,29,3.436,5948,0.056,FALSE,Positive,434.3,60.1,29,3.436,25472,0.056,FALSE,Positive,450.4,113,29,3.374,620,0.066,FALSE,Positive,450.4,60.1,29,3.374,4304,0.058,FALSE,Positive,464.4,113,29,3.34,546,0.061,FALSE,Positive,464.4,60.1,29,3.34,1296,0.059,TRUE
,,031_SPL_S011_VM347595.d,031_SPL_S011_VM347595,Sample,,4/19/2018 22:54,P1-B8,Positive,408.3,113,29,3.463,1198,0.062,TRUE,Positive,408.3,60.1,29,3.463,3456,0.056,FALSE,Positive,422.3,113,29,3.429,1113,0.063,TRUE,Positive,422.3,60.1,29,3.429,3281,0.057,FALSE,Positive,438.3,113,29,3.376,3006,0.061,FALSE,Positive,438.3,60.1,29,3.384,5548,0.061,FALSE,Positive,436.3,113,29,3.402,12532,0.056,FALSE,Positive,436.3,60.1,29,3.402,52682,0.055,FALSE,Positive,440.3,113,29,3.4,9305,0.056,FALSE,Positive,440.3,60.1,29,3.4,37239,0.056,FALSE,Positive,434.3,113,29,3.436,4048,0.056,FALSE,Positive,434.3,60.1,29,3.436,15383,0.055,FALSE,Positive,450.4,113,29,3.366,496,0.14,FALSE,Positive,450.4,60.1,29,3.374,1198,0.059,FALSE,Positive,464.4,113,29,3.282,98,0.064,FALSE,Positive,464.4,60.1,29,3.348,256,0.036,FALSE
,,032_SPL_S012_VM350594.d,032_SPL_S012_VM350594,Sample,,4/19/2018 23:04,P1-B9,Positive,408.3,113,29,3.463,1091,0.058,FALSE,Positive,408.3,60.1,29,3.463,4219,0.055,FALSE,Positive,422.3,113,29,3.429,1655,0.061,FALSE,Positive,422.3,60.1,29,3.429,4979,0.056,FALSE,Positive,438.3,113,29,3.376,9111,0.057,FALSE,Positive,438.3,60.1,29,3.384,16447,0.06,FALSE,Positive,436.3,113,29,3.402,34356,0.055,FALSE,Positive,436.3,60.1,29,3.402,141481,0.055,FALSE,Positive,440.3,113,29,3.4,9262,0.056,FALSE,Positive,440.3,60.1,29,3.4,40695,0.055,FALSE,Positive,434.3,113,29,3.436,5144,0.056,FALSE,Positive,434.3,60.1,29,3.428,17944,0.056,FALSE,Positive,450.4,113,29,3.374,584,0.059,FALSE,Positive,450.4,60.1,29,3.374,3491,0.058,FALSE,Positive,464.4,113,29,3.34,243,0.091,FALSE,Positive,464.4,60.1,29,3.34,678,0.049,TRUE
,,033_SPL_S013_Bösiger 0.d,033_SPL_S013_Bösiger 0,Sample,,4/19/2018 23:14,P1-C1,Positive,408.3,113,29,3.463,1935,0.057,FALSE,Positive,408.3,60.1,29,3.463,6190,0.054,FALSE,Positive,422.3,113,29,3.437,1427,0.07,TRUE,Positive,422.3,60.1,29,3.429,4984,0.057,FALSE,Positive,438.3,113,29,3.376,22722,0.06,FALSE,Positive,438.3,60.1,29,3.384,35159,0.06,FALSE,Positive,436.3,113,29,3.402,53575,0.055,FALSE,Positive,436.3,60.1,29,3.402,220025,0.055,FALSE,Positive,440.3,113,29,3.4,9876,0.057,FALSE,Positive,440.3,60.1,29,3.4,40455,0.056,FALSE,Positive,434.3,113,29,3.436,6898,0.056,FALSE,Positive,434.3,60.1,29,3.436,25956,0.056,FALSE,Positive,450.4,113,29,3.366,427,0.116,FALSE,Positive,450.4,60.1,29,3.374,4448,0.057,FALSE,Positive,464.4,113,29,3.34,924,0.132,FALSE,Positive,464.4,60.1,29,3.348,1289,0.06,TRUE
,,034_SPL_S014_Bösiger 1.d,034_SPL_S014_Bösiger 1,Sample,,4/19/2018 23:24,P1-C2,Positive,408.3,113,29,3.463,2342,0.055,FALSE,Positive,408.3,60.1,29,3.463,8560,0.055,FALSE,Positive,422.3,113,29,3.437,1709,0.061,FALSE,Positive,422.3,60.1,29,3.429,5646,0.056,FALSE,Positive,438.3,113,29,3.376,12684,0.059,FALSE,Positive,438.3,60.1,29,3.384,21878,0.06,FALSE,Positive,436.3,113,29,3.402,39876,0.055,FALSE,Positive,436.3,60.1,29,3.402,175313,0.055,FALSE,Positive,440.3,113,29,3.4,9338,0.057,FALSE,Positive,440.3,60.1,29,3.4,42078,0.056,FALSE,Positive,434.3,113,29,3.436,6011,0.057,FALSE,Positive,434.3,60.1,29,3.436,27468,0.056,FALSE,Positive,450.4,113,29,3.374,626,0.083,FALSE,Positive,450.4,60.1,29,3.366,3406,0.057,FALSE,Positive,464.4,113,29,3.273,149,0.046,FALSE,Positive,464.4,60.1,29,3.34,812,0.052,TRUE
,,035_SPL_S015_LZ152791.d,035_SPL_S015_LZ152791,Sample,,4/19/2018 23:35,P1-C3,Positive,408.3,113,29,3.455,1755,0.056,FALSE,Positive,408.3,60.1,29,3.463,6366,0.055,FALSE,Positive,422.3,113,29,3.429,1388,0.059,FALSE,Positive,422.3,60.1,29,3.429,4751,0.057,FALSE,Positive,438.3,113,29,3.376,10169,0.058,FALSE,Positive,438.3,60.1,29,3.376,18480,0.059,FALSE,Positive,436.3,113,29,3.402,31716,0.055,FALSE,Positive,436.3,60.1,29,3.402,129794,0.055,FALSE,Positive,440.3,113,29,3.4,9317,0.057,FALSE,Positive,440.3,60.1,29,3.4,36775,0.055,FALSE,Positive,434.3,113,29,3.428,5497,0.056,FALSE,Positive,434.3,60.1,29,3.428,23052,0.055,FALSE,Positive,450.4,113,29,3.382,793,0.041,FALSE,Positive,450.4,60.1,29,3.374,2983,0.057,FALSE,Positive,464.4,113,29,3.34,802,0.079,FALSE,Positive,464.4,60.1,29,3.34,896,0.063,TRUE
,,036_SPL_S016_VM333821.d,036_SPL_S016_VM333821,Sample,,4/19/2018 23:45,P1-C4,Positive,408.3,113,29,3.463,3001,0.055,FALSE,Positive,408.3,60.1,29,3.463,10685,0.055,FALSE,Positive,422.3,113,29,3.429,1560,0.06,TRUE,Positive,422.3,60.1,29,3.429,6249,0.056,FALSE,Positive,438.3,113,29,3.376,14612,0.058,FALSE,Positive,438.3,60.1,29,3.384,27867,0.059,FALSE,Positive,436.3,113,29,3.402,45310,0.055,FALSE,Positive,436.3,60.1,29,3.402,176068,0.055,FALSE,Positive,440.3,113,29,3.4,9514,0.056,FALSE,Positive,440.3,60.1,29,3.4,39155,0.056,FALSE,Positive,434.3,113,29,3.436,5894,0.057,FALSE,Positive,434.3,60.1,29,3.436,26236,0.056,FALSE,Positive,450.4,113,29,3.374,699,0.064,FALSE,Positive,450.4,60.1,29,3.374,4814,0.057,FALSE,Positive,464.4,113,29,3.34,777,0.065,FALSE,Positive,464.4,60.1,29,3.34,1317,0.043,FALSE
,,037_BQC_PQC04.d,037_BQC_PQC04,Sample,,4/19/2018 23:55,P1-C5,Positive,408.3,113,29,3.463,1832,0.056,FALSE,Positive,408.3,60.1,29,3.463,6716,0.052,FALSE,Positive,422.3,113,29,3.429,1313,0.059,FALSE,Positive,422.3,60.1,29,3.429,4503,0.055,FALSE,Positive,438.3,113,29,3.376,10142,0.057,FALSE,Positive,438.3,60.1,29,3.384,18097,0.06,FALSE,Positive,436.3,113,29,3.402,33261,0.055,FALSE,Positive,436.3,60.1,29,3.402,137282,0.055,FALSE,Positive,440.3,113,29,3.4,9159,0.057,FALSE,Positive,440.3,60.1,29,3.4,41460,0.055,FALSE,Positive,434.3,113,29,3.436,5934,0.057,FALSE,Positive,434.3,60.1,29,3.436,23679,0.056,FALSE,Positive,450.4,113,29,3.374,622,0.076,FALSE,Positive,450.4,60.1,29,3.374,3255,0.058,FALSE,Positive,464.4,113,29,3.34,309,0.099,FALSE,Positive,464.4,60.1,29,3.348,915,0.058,TRUE
,,038_TQC_TQC03.d,038_TQC_TQC03,Sample,,4/20/2018 0:05,Vial 3,Positive,408.3,113,29,3.463,1847,0.056,FALSE,Positive,408.3,60.1,29,3.463,7073,0.056,FALSE,Positive,422.3,113,29,3.437,1567,0.063,TRUE,Positive,422.3,60.1,29,3.437,4884,0.057,FALSE,Positive,438.3,113,29,3.376,11055,0.059,FALSE,Positive,438.3,60.1,29,3.384,18877,0.059,FALSE,Positive,436.3,113,29,3.402,36580,0.055,FALSE,Positive,436.3,60.1,29,3.402,161427,0.055,FALSE,Positive,440.3,113,29,3.4,10904,0.055,FALSE,Positive,440.3,60.1,29,3.4,42394,0.056,FALSE,Positive,434.3,113,29,3.436,6294,0.056,FALSE,Positive,434.3,60.1,29,3.436,24601,0.056,FALSE,Positive,450.4,113,29,3.374,417,0.116,FALSE,Positive,450.4,60.1,29,3.374,3687,0.057,FALSE,Positive,464.4,113,29,3.348,733,0.081,FALSE,Positive,464.4,60.1,29,3.34,986,0.043,FALSE
,,039_SPL_S017_Vogt 0.d,039_SPL_S017_Vogt 0,Sample,,4/20/2018 0:16,P1-C6,Positive,408.3,113,29,3.463,4120,0.056,FALSE,Positive,408.3,60.1,29,3.463,15219,0.054,FALSE,Positive,422.3,113,29,3.437,2269,0.059,FALSE,Positive,422.3,60.1,29,3.429,8503,0.056,FALSE,Positive,438.3,113,29,3.376,13996,0.059,TRUE,Positive,438.3,60.1,29,3.384,24182,0.06,FALSE,Positive,436.3,113,29,3.402,41769,0.055,FALSE,Positive,436.3,60.1,29,3.402,184830,0.055,FALSE,Positive,440.3,113,29,3.4,10621,0.057,FALSE,Positive,440.3,60.1,29,3.4,44722,0.056,FALSE,Positive,434.3,113,29,3.436,7885,0.057,FALSE,Positive,434.3,60.1,29,3.436,32768,0.055,FALSE,Positive,450.4,113,29,3.382,979,0.065,FALSE,Positive,450.4,60.1,29,3.374,4798,0.058,FALSE,Positive,464.4,113,29,3.34,601,0.024,FALSE,Positive,464.4,60.1,29,3.34,1058,0.056,FALSE
,,040_SPL_S018_Vogt 1.d,040_SPL_S018_Vogt 1,Sample,,4/20/2018 0:26,P1-C7,Positive,408.3,113,29,3.463,3785,0.056,FALSE,Positive,408.3,60.1,29,3.463,14389,0.055,FALSE,Positive,422.3,113,29,3.429,2250,0.058,FALSE,Positive,422.3,60.1,29,3.429,8723,0.056,TRUE,Positive,438.3,113,29,3.376,16740,0.06,FALSE,Positive,438.3,60.1,29,3.384,26641,0.059,FALSE,Positive,436.3,113,29,3.402,46047,0.055,FALSE,Positive,436.3,60.1,29,3.402,197016,0.055,FALSE,Positive,440.3,113,29,3.4,9522,0.057,FALSE,Positive,440.3,60.1,29,3.4,41673,0.056,FALSE,Positive,434.3,113,29,3.436,7975,0.056,FALSE,Positive,434.3,60.1,29,3.436,30675,0.055,FALSE,Positive,450.4,113,29,3.374,1285,0.064,FALSE,Positive,450.4,60.1,29,3.374,5399,0.058,FALSE,Positive,464.4,113,29,3.348,747,0.079,FALSE,Positive,464.4,60.1,29,3.348,1159,0.043,FALSE
,,041_SPL_S019_VM334426.d,041_SPL_S019_VM334426,Sample,,4/20/2018 0:36,P1-C8,Positive,408.3,113,29,3.463,2416,0.056,FALSE,Positive,408.3,60.1,29,3.463,9827,0.055,FALSE,Positive,422.3,113,29,3.429,1581,0.062,FALSE,Positive,422.3,60.1,29,3.429,5047,0.057,FALSE,Positive,438.3,113,29,3.376,11240,0.058,FALSE,Positive,438.3,60.1,29,3.384,19733,0.061,FALSE,Positive,436.3,113,29,3.402,39173,0.055,FALSE,Positive,436.3,60.1,29,3.402,172427,0.055,FALSE,Positive,440.3,113,29,3.4,9475,0.057,FALSE,Positive,440.3,60.1,29,3.4,37505,0.056,FALSE,Positive,434.3,113,29,3.436,7248,0.057,FALSE,Positive,434.3,60.1,29,3.436,33093,0.056,FALSE,Positive,450.4,113,29,3.366,600,0.066,FALSE,Positive,450.4,60.1,29,3.374,3213,0.059,FALSE,Positive,464.4,113,29,3.34,744,0.071,FALSE,Positive,464.4,60.1,29,3.34,873,0.057,FALSE
,,042_SPL_S020_VM326794.d,042_SPL_S020_VM326794,Sample,,4/20/2018 0:46,P1-C9,Positive,408.3,113,29,3.463,1359,0.06,TRUE,Positive,408.3,60.1,29,3.463,4207,0.06,FALSE,Positive,422.3,113,29,3.429,940,0.066,TRUE,Positive,422.3,60.1,29,3.429,3241,0.056,TRUE,Positive,438.3,113,29,3.376,8046,0.058,FALSE,Positive,438.3,60.1,29,3.384,13100,0.06,FALSE,Positive,436.3,113,29,3.402,24732,0.056,FALSE,Positive,436.3,60.1,29,3.402,107165,0.055,FALSE,Positive,440.3,113,29,3.4,8155,0.056,FALSE,Positive,440.3,60.1,29,3.4,36137,0.056,FALSE,Positive,434.3,113,29,3.436,5129,0.056,FALSE,Positive,434.3,60.1,29,3.436,18564,0.056,FALSE,Positive,450.4,113,29,3.382,543,0.095,FALSE,Positive,450.4,60.1,29,3.374,1993,0.06,FALSE,Positive,464.4,113,29,3.348,317,0.08,FALSE,Positive,464.4,60.1,29,3.34,620,0.065,FALSE
,S1P d19:1 [M>113]: Integrator did not find any peaks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
