Sample,,,,,,,,S1P d16:1 [M>113] Method,,,,S1P d16:1 [M>113] Results,,,,S1P d16:1 [M>60] Method,,,,S1P d16:1 [M>60] Results,,,,S1P d17:1 [M>113] Method,,,,S1P d17:1 [M>113] Results,,,,S1P d17:1 [M>60] Method,,,,S1P d17:1 [M>60] Results,,,,S1P d18:0 [M>113] Method,,,,S1P d18:0 [M>113] Results,,,,S1P d18:0 [M>60] Method,,,,S1P d18:0 [M>60] Results,,,,S1P d18:1 [M>113] Method,,,,S1P d18:1 [M>113] Results,,,,S1P d18:1 [M>60] Method,,,,S1P d18:1 [M>60] Results,,,,S1P d18:1 13C2D2 (ISTD) [M>113] Method,,,,S1P d18:1 13C2D2 (ISTD) [M>113] Results,,,,S1P d18:1 13C2D2 (ISTD) [M>60] Method,,,,S1P d18:1 13C2D2 (ISTD) [M>60] Results,,,,S1P d18:2 [M>113] Method,,,,S1P d18:2 [M>113] Results,,,,S1P d18:2 [M>60] Method,,,,S1P d18:2 [M>60] Results,,,,S1P d19:1 [M>113] Method,,,,S1P d19:1 [M>113] Results,,,,S1P d19:1 [M>60] Method,,,,S1P d19:1 [M>60] Results,,,,S1P d20:1 [M>113] Method,,,,S1P d20:1 [M>113] Results,,,,S1P d20:1 [M>60] Method,,,,S1P d20:1 [M>60] Results,,,
,Quantitation Message,Data File,Name,Type,Level,Acq. Date-Time,Pos.,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI
,,010_TQCd-0_TQC-0percent.d,010_TQCd-0_TQC-0percent,Sample,,4/19/2018 19:18,Vial 4,Positive,408.3,113,29,3.48,57,0.038,FALSE,Positive,408.3,60.1,29,3.388,93,0.106,TRUE,Positive,422.3,113,29,3.396,213,0.029,TRUE,Positive,422.3,60.1,29,3.503,84,0.137,TRUE,Positive,438.3,113,29,3.401,368,0.124,TRUE,Positive,438.3,60.1,29,3.31,220,0.24,TRUE,Positive,436.3,113,29,3.435,92,0.09,TRUE,Positive,436.3,60.1,29,3.336,62,0.009,TRUE,Positive,440.3,113,29,3.367,194,0.166,TRUE,Positive,440.3,60.1,29,3.317,365,0.031,TRUE,Positive,434.3,113,29,3.395,131,0.088,TRUE,Positive,434.3,60.1,29,3.436,69,0.046,TRUE,Positive,450.4,113,29,3.266,58,0.056,FALSE,Positive,450.4,60.1,29,3.366,87,0.156,TRUE,Positive,464.4,113,29,3.307,202,0.082,FALSE,Positive,464.4,60.1,29,3.315,74,0.059,TRUE
,,011_TQCd-20_TQC-20percent.d,011_TQCd-20_TQC-20percent,Sample,,4/19/2018 19:29,Vial 5,Positive,408.3,113,29,3.463,532,0.059,FALSE,Positive,408.3,60.1,29,3.463,2014,0.062,FALSE,Positive,422.3,113,29,3.429,571,0.059,TRUE,Positive,422.3,60.1,29,3.429,1284,0.059,FALSE,Positive,438.3,113,29,3.376,3132,0.058,FALSE,Positive,438.3,60.1,29,3.384,4945,0.06,FALSE,Positive,436.3,113,29,3.402,10108,0.056,FALSE,Positive,436.3,60.1,29,3.402,40701,0.054,FALSE,Positive,440.3,113,29,3.4,3172,0.06,FALSE,Positive,440.3,60.1,29,3.4,11419,0.056,FALSE,Positive,434.3,113,29,3.436,1537,0.059,FALSE,Positive,434.3,60.1,29,3.428,5691,0.056,FALSE,Positive,450.4,113,29,3.266,92,0.047,FALSE,Positive,450.4,60.1,29,3.374,914,0.049,FALSE,Positive,464.4,113,29,3.282,126,0.064,FALSE,Positive,464.4,60.1,29,3.348,213,0.108,FALSE
,,012_TQCd-40_TQC-40percent.d,012_TQCd-40_TQC-40percent,Sample,,4/19/2018 19:39,Vial 6,Positive,408.3,113,29,3.463,907,0.06,FALSE,Positive,408.3,60.1,29,3.471,3313,0.054,FALSE,Positive,422.3,113,29,3.429,901,0.07,TRUE,Positive,422.3,60.1,29,3.437,2205,0.056,FALSE,Positive,438.3,113,29,3.384,6261,0.058,FALSE,Positive,438.3,60.1,29,3.384,8639,0.061,FALSE,Positive,436.3,113,29,3.402,16213,0.055,FALSE,Positive,436.3,60.1,29,3.402,67842,0.055,FALSE,Positive,440.3,113,29,3.4,5136,0.058,FALSE,Positive,440.3,60.1,29,3.4,20436,0.055,FALSE,Positive,434.3,113,29,3.436,2734,0.058,FALSE,Positive,434.3,60.1,29,3.436,10063,0.056,FALSE,Positive,450.4,113,29,3.374,516,0.088,FALSE,Positive,450.4,60.1,29,3.374,1542,0.055,FALSE,Positive,464.4,113,29,3.331,612,0.081,FALSE,Positive,464.4,60.1,29,3.348,310,0.055,FALSE
,,013_TQCd-60_TQC-60percent.d,013_TQCd-60_TQC-60percent,Sample,,4/19/2018 19:49,Vial 7,Positive,408.3,113,29,3.463,1425,0.057,FALSE,Positive,408.3,60.1,29,3.463,5044,0.055,FALSE,Positive,422.3,113,29,3.429,1054,0.064,TRUE,Positive,422.3,60.1,29,3.429,3287,0.057,FALSE,Positive,438.3,113,29,3.376,7254,0.059,FALSE,Positive,438.3,60.1,29,3.384,12032,0.06,FALSE,Positive,436.3,113,29,3.402,23276,0.056,FALSE,Positive,436.3,60.1,29,3.402,104427,0.055,FALSE,Positive,440.3,113,29,3.4,6947,0.055,FALSE,Positive,440.3,60.1,29,3.4,29285,0.055,FALSE,Positive,434.3,113,29,3.436,3497,0.057,FALSE,Positive,434.3,60.1,29,3.436,15580,0.056,FALSE,Positive,450.4,113,29,3.374,689,0.076,FALSE,Positive,450.4,60.1,29,3.374,2239,0.057,FALSE,Positive,464.4,113,29,3.348,593,0.101,FALSE,Positive,464.4,60.1,29,3.34,611,0.039,FALSE
,,014_TQCd-80_TQC-80percent.d,014_TQCd-80_TQC-80percent,Sample,,4/19/2018 19:59,Vial 8,Positive,408.3,113,29,3.463,1635,0.056,FALSE,Positive,408.3,60.1,29,3.463,5768,0.055,FALSE,Positive,422.3,113,29,3.429,1444,0.061,FALSE,Positive,422.3,60.1,29,3.429,4089,0.057,FALSE,Positive,438.3,113,29,3.376,9785,0.059,FALSE,Positive,438.3,60.1,29,3.384,16535,0.06,FALSE,Positive,436.3,113,29,3.402,31201,0.055,FALSE,Positive,436.3,60.1,29,3.402,125274,0.055,FALSE,Positive,440.3,113,29,3.4,9190,0.056,FALSE,Positive,440.3,60.1,29,3.4,34586,0.056,FALSE,Positive,434.3,113,29,3.436,5463,0.057,FALSE,Positive,434.3,60.1,29,3.436,20410,0.056,FALSE,Positive,450.4,113,29,3.266,94,0.062,FALSE,Positive,450.4,60.1,29,3.374,3069,0.057,FALSE,Positive,464.4,113,29,3.356,706,0.04,FALSE,Positive,464.4,60.1,29,3.34,610,0.108,FALSE
,,015_TQCd-100_TQC-100percent.d,015_TQCd-100_TQC-100percent,Sample,,4/19/2018 20:09,Vial 9,Positive,408.3,113,29,3.463,1966,0.056,FALSE,Positive,408.3,60.1,29,3.463,6892,0.055,FALSE,Positive,422.3,113,29,3.437,1651,0.063,FALSE,Positive,422.3,60.1,29,3.437,4562,0.057,FALSE,Positive,438.3,113,29,3.384,11335,0.058,FALSE,Positive,438.3,60.1,29,3.384,19101,0.06,FALSE,Positive,436.3,113,29,3.402,36226,0.055,FALSE,Positive,436.3,60.1,29,3.402,159280,0.055,FALSE,Positive,440.3,113,29,3.408,10201,0.057,FALSE,Positive,440.3,60.1,29,3.4,42634,0.056,FALSE,Positive,434.3,113,29,3.436,6036,0.056,FALSE,Positive,434.3,60.1,29,3.436,23401,0.056,FALSE,Positive,450.4,113,29,3.382,805,0.079,FALSE,Positive,450.4,60.1,29,3.374,3430,0.058,FALSE,Positive,464.4,113,29,3.348,780,0.113,FALSE,Positive,464.4,60.1,29,3.348,848,0.036,FALSE
,,016_TQC_TQC01.d,016_TQC_TQC01,Sample,,4/19/2018 20:20,Vial 3,Positive,408.3,113,29,3.463,1997,0.057,FALSE,Positive,408.3,60.1,29,3.463,6383,0.055,FALSE,Positive,422.3,113,29,3.429,1420,0.061,FALSE,Positive,422.3,60.1,29,3.429,4807,0.057,FALSE,Positive,438.3,113,29,3.376,10610,0.058,FALSE,Positive,438.3,60.1,29,3.384,19163,0.059,FALSE,Positive,436.3,113,29,3.402,33938,0.055,FALSE,Positive,436.3,60.1,29,3.402,144713,0.055,FALSE,Positive,440.3,113,29,3.4,9768,0.057,FALSE,Positive,440.3,60.1,29,3.4,43070,0.055,FALSE,Positive,434.3,113,29,3.436,5640,0.057,FALSE,Positive,434.3,60.1,29,3.428,24156,0.056,FALSE,Positive,450.4,113,29,3.382,599,0.055,FALSE,Positive,450.4,60.1,29,3.374,3487,0.057,FALSE,Positive,464.4,113,29,3.348,439,0.064,FALSE,Positive,464.4,60.1,29,3.34,988,0.039,FALSE
,,017_TQC_TQC02.d,017_TQC_TQC02,Sample,,4/19/2018 20:30,Vial 3,Positive,408.3,113,29,3.463,2097,0.056,FALSE,Positive,408.3,60.1,29,3.463,6628,0.055,FALSE,Positive,422.3,113,29,3.429,1291,0.063,FALSE,Positive,422.3,60.1,29,3.429,4705,0.056,FALSE,Positive,438.3,113,29,3.376,10583,0.058,FALSE,Positive,438.3,60.1,29,3.384,17115,0.06,FALSE,Positive,436.3,113,29,3.402,35796,0.056,FALSE,Positive,436.3,60.1,29,3.402,154497,0.055,FALSE,Positive,440.3,113,29,3.4,9782,0.057,FALSE,Positive,440.3,60.1,29,3.4,44076,0.056,FALSE,Positive,434.3,113,29,3.436,5332,0.056,FALSE,Positive,434.3,60.1,29,3.436,23079,0.056,FALSE,Positive,450.4,113,29,3.374,749,0.068,FALSE,Positive,450.4,60.1,29,3.374,3158,0.058,FALSE,Positive,464.4,113,29,3.34,577,0.078,FALSE,Positive,464.4,60.1,29,3.34,745,0.067,FALSE
,,018_BQC_PQC01.d,018_BQC_PQC01,Sample,,4/19/2018 20:40,P1-A4,Positive,408.3,113,29,3.463,1649,0.057,FALSE,Positive,408.3,60.1,29,3.463,6672,0.054,FALSE,Positive,422.3,113,29,3.429,1526,0.06,FALSE,Positive,422.3,60.1,29,3.429,4791,0.056,FALSE,Positive,438.3,113,29,3.384,11548,0.058,FALSE,Positive,438.3,60.1,29,3.384,18136,0.06,FALSE,Positive,436.3,113,29,3.402,37807,0.055,FALSE,Positive,436.3,60.1,29,3.402,153694,0.055,FALSE,Positive,440.3,113,29,3.4,10673,0.057,FALSE,Positive,440.3,60.1,29,3.4,42636,0.056,FALSE,Positive,434.3,113,29,3.436,5777,0.057,FALSE,Positive,434.3,60.1,29,3.436,24275,0.055,FALSE,Positive,450.4,113,29,3.382,707,0.064,FALSE,Positive,450.4,60.1,29,3.374,3162,0.057,FALSE,Positive,464.4,113,29,3.348,808,0.073,FALSE,Positive,464.4,60.1,29,3.34,905,0.054,FALSE
,,019_BQC_PQC02.d,019_BQC_PQC02,Sample,,4/19/2018 20:50,P1-A5,Positive,408.3,113,29,3.463,1673,0.055,FALSE,Positive,408.3,60.1,29,3.463,5983,0.048,FALSE,Positive,422.3,113,29,3.437,1404,0.062,FALSE,Positive,422.3,60.1,29,3.437,4166,0.057,FALSE,Positive,438.3,113,29,3.384,10494,0.059,FALSE,Positive,438.3,60.1,29,3.384,18175,0.059,FALSE,Positive,436.3,113,29,3.402,35345,0.055,FALSE,Positive,436.3,60.1,29,3.402,145516,0.055,FALSE,Positive,440.3,113,29,3.408,10277,0.057,FALSE,Positive,440.3,60.1,29,3.408,41431,0.056,FALSE,Positive,434.3,113,29,3.436,5622,0.056,FALSE,Positive,434.3,60.1,29,3.436,22445,0.056,FALSE,Positive,450.4,113,29,3.382,636,0.07,FALSE,Positive,450.4,60.1,29,3.374,3228,0.057,FALSE,Positive,464.4,113,29,3.34,643,0.068,FALSE,Positive,464.4,60.1,29,3.348,929,0.05,FALSE
